"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J99324LL","journalArticle","2015","Cimini, Giulio; Squartini, Tiziano; Garlaschelli, Diego; Gabrielli, Andrea","Systemic Risk Analysis on Reconstructed Economic and Financial Networks","Scientific Reports","","2045-2322","10.1038/srep15758","https://www.nature.com/articles/srep15758","We address a fundamental problem that is systematically encountered when modeling real-world complex systems of societal relevance: the limitedness of the information available. In the case of economic and financial networks, privacy issues severely limit the information that can be accessed and, as a consequence, the possibility of correctly estimating the resilience of these systems to events such as financial shocks, crises and cascade failures. Here we present an innovative method to reconstruct the structure of such partially-accessible systems, based on the knowledge of intrinsic node-specific properties and of the number of connections of only a limited subset of nodes. This information is used to calibrate an inference procedure based on fundamental concepts derived from statistical physics, which allows to generate ensembles of directed weighted networks intended to represent the real system—so that the real network properties can be estimated as their average values within the ensemble. We test the method both on synthetic and empirical networks, focusing on the properties that are commonly used to measure systemic risk. Indeed, the method shows a remarkable robustness with respect to the limitedness of the information available, thus representing a valuable tool for gaining insights on privacy-protected economic and financial systems.","2015-10-28","2023-05-09 05:26:50","2023-05-09 05:26:50","2023-05-09 05:26:50","15758","","1","5","","Sci Rep","","","","","","","","en","2015 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\maroa\Zotero\storage\6SCRGABQ\Cimini et al. - 2015 - Systemic Risk Analysis on Reconstructed Economic a.pdf","","","Applied physics; Complex networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97TFSCFV","bookSection","2013","Cont, Rama; Moussa, Amal; Santos, Edson B.","Network Structure and Systemic Risk in Banking Systems","Handbook on Systemic Risk","978-1-107-02343-7 978-1-139-15118-4","","","https://www.cambridge.org/core/product/identifier/CBO9781139151184A106/type/book_part","We present a quantitative methodology for analyzing the potential for contagion and systemic risk in a network of interlinked ﬁnancial institutions, using a metric for the systemic importance of institutions: the Contagion Index.","2013-05-23","2023-07-21 01:51:22","2023-09-19 17:19:17","2023-07-21 01:51:22","327-368","","","","","","","","","","","Cambridge University Press","","en","","","","","DOI.org (Crossref)","","DOI: 10.1017/CBO9781139151184.018","","C:\Users\maroa\Zotero\storage\AWRG6YZC\Cont et al. - 2013 - Network Structure and Systemic Risk in Banking Sys.pdf","","","","Fouque, Jean-Pierre; Langsam, Joseph A.","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44885MW8","journalArticle","2016","Giudici, P.; Spelta, A.","Graphical Network Models for International Financial Flows","Journal of Business & Economic Statistics","","0735-0015, 1537-2707","10.1080/07350015.2015.1017643","http://www.tandfonline.com/doi/full/10.1080/07350015.2015.1017643","","2016-01-02","2023-07-22 14:42:58","2024-01-10 20:10:09","2023-07-22 14:42:58","128-138","","1","34","","Journal of Business & Economic Statistics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\L4ND2KCT\Giudici and Spelta - 2016 - Graphical Network Models for International Financi.pdf; ","notion://www.notion.so/Giudici-Spelta-2016-e49dcccf3f0e4090ab8b4b0d4340faaf","notion","Graphical models; Bayesian model selection; Financial network models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYWK3H8E","conferencePaper","2021","Assefa, Samuel A.; Dervovic, Danial; Mahfouz, Mahmoud; Tillman, Robert E.; Reddy, Prashant; Veloso, Manuela","Generating synthetic data in finance: opportunities, challenges and pitfalls","Proceedings of the First ACM International Conference on AI in Finance","978-1-4503-7584-9","","10.1145/3383455.3422554","https://dl.acm.org/doi/10.1145/3383455.3422554","Financial services generate a huge volume of data that is extremely complex and varied. These datasets are often stored in silos within organisations for various reasons, including but not limited to regulatory requirements and business needs. As a result, data sharing within different lines of business as well as outside of the organisation (e.g. to the research community) is severely limited. It is therefore critical to investigate methods for synthesising financial datasets that follow the same properties of the real data while respecting the need for privacy of the parties involved. This introductory paper aims to highlight the growing need for effective synthetic data generation in the financial domain. We highlight three main areas of focus that are of particular importance while generating synthetic financial datasets: 1) Generating realistic synthetic datasets. 2) Measuring the similarities between real and generated datasets. 3) Ensuring the generative process satisfies any privacy constraints. Although these challenges are also present in other domains, the additional regulatory and privacy requirements within financial services present unique questions that are not asked elsewhere. Due to the size and influence of the financial services industry, answering these questions has the potential for a great and lasting impact. Finally, we aim to develop a shared vocabulary and context for generating synthetic financial data using two types of financial datasets as examples.","2021-10-07","2023-07-22 14:48:00","2024-01-21 21:25:38","2023-07-22","1–8","","","","","","Generating synthetic data in finance","ICAIF '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\maroa\Zotero\storage\UH4GNIID\Assefa et al. - 2021 - Generating synthetic data in finance opportunitie.pdf; ","notion://www.notion.so/Assefa-et-al-2021-8293c5323aa24f6c968645bccd7e3826","vocuabulary; Scopus; notion; Overview","privacy preserving data generation; simulation; synthetic data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGZEHEZW","journalArticle","2004","Inaoka, Hajime; Ninomiya, Takuto; Taniguchi, Ken; Shimizu, Tokiko; Takayasu, Hideki","Fractal Network derived from banking transaction","Bank of Japan Working Paper Series","","","","","The mechanism of financial transactions provided to society today cannot be determined by a single financial institution, but is determined through a complex structure of mutual cooperation, or a “network”, between several financial institutions. Quantitative analysis of such a “network” structure had not been explored until recently, mainly due to limitations in the data available. This paper analyzes the “network” structure of financial transactions, using the logged data of financial transactions through the BOJ-Net (Current Account of the Bank of Japan), which became obtainable after the introduction of RTGS (Real Time Gross Settlement) in 2001.","2004-04","2023-07-22 18:35:26","2024-02-05 00:12:05","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\maroa\Zotero\storage\X84YG3FX\Inaoka et al. - Fractal Network derived from banking transaction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRC328ZF","journalArticle","2013","Summer, Martin","Financial Contagion and Network Analysis","Annual Review of Financial Economics","","","10.1146/annurev-financial-110112-120948","https://doi.org/10.1146/annurev-financial-110112-120948","Network models of interbank exposures allow the mapping of the complex web of financial linkages among many institutions and address issues of system stability and contagion risk. Although existing models cover a fair amount of ground in explaining how network structure can lead to default cascades and in quantifying the likelihood and the impact of default cascades through balance-sheet mechanics, the literature has shortcomings in explaining how shocks are potentially amplified through the network of exposures. These amplification mechanisms seem to be very important in financial crises. This review discusses the main conceptual ideas behind network models of contagion, the major findings of this literature, as well as some limitations of existing models.","2013","2023-07-22 18:41:04","2024-01-21 21:29:03","2023-07-22 18:41:04","277-297","","1","5","","","","","","","","","","","","","","","Annual Reviews","","_eprint: https://doi.org/10.1146/annurev-financial-110112-120948","","C:\Users\maroa\Zotero\storage\3KE9W4WU\Summer - 2013 - Financial Contagion and Network Analysis.pdf; ; C:\Users\maroa\Zotero\storage\BLFRM59M\Summer - 2013 - Financial Contagion and Network Analysis.pdf","notion://www.notion.so/Summer-2013-874db289c2be46619544ecf24aee0a13","notion; Overview","systemic risk; contagion; financial stability; interbank market","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GCYRKZE","journalArticle","2017","Finger, Karl; Lux, Thomas","Network formation in the interbank money market: An application of the actor-oriented model","Social Networks","","0378-8733","10.1016/j.socnet.2015.11.005","https://www.sciencedirect.com/science/article/pii/S0378873316303872","This paper investigates the driving forces behind banks’ link formation in the interbank market by applying the stochastic actor oriented model (SAOM). Our data consists of quarterly networks constructed from the transactions on an electronic trading platform (e-MID) for interbank credit over the period from 2001 to 2010. The analysis strongly supports the hypothesis that the existence and extent of past credit relationships is a major determinant of credit provision (i.e., link formation) in subsequent periods. We also find explanatory power of size-related characteristics, but little influence of past interest rates. The actor-based analysis, thus, confirms the prevalent view that interbank credit is mainly determined by lasting business relationships and less so by competition for the best price (interest rate). Our findings also show that topological features exert a certain influence on the network formation process. The major changes found for the period after the onset of the financial crisis are that: (1) large banks and those identified as ‘core’ intermediaries became even more sought of as counterparties and (2) indirect counterparty risk appeared to be more of a concern as we find a higher tendency to avoid indirect exposure as indicated by clustering effects.","2017-01-01","2023-07-22 18:49:59","2023-07-22 18:49:59","2023-07-22 18:49:59","237-249","","","48","","Social Networks","Network formation in the interbank money market","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\VDTPQL34\Finger and Lux - 2017 - Network formation in the interbank money market A.pdf; C:\Users\maroa\Zotero\storage\KXJIAA7X\S0378873316303872.html","","","Financial crisis; Interbank market; Network formation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSUIAZYJ","journalArticle","2004","Boss, Michael; Elsinger, Helmut; Summer, Martin; Thurner 4, Stefan","Network topology of the interbank market","Quantitative Finance","","1469-7688","10.1080/14697680400020325","https://www.tandfonline.com/doi/abs/10.1080/14697680400020325","We provide an empirical analysis of the network structure of the Austrian interbank market based on Austrian Central Bank (OeNB) data. The interbank market is interpreted as a network where banks are nodes and the claims and liabilities between banks define the links. This allows us to apply methods from general network theory. We find that the degree distributions of the interbank network follow power laws. Given this result we discuss how the network structure affects the stability of the banking system with respect to the elimination of a node in the network, i.e. the default of a single bank. Further, the interbank liability network shows a community structure that exactly mirrors the regional and sectoral organization of the current Austrian banking system. The banking network has the typical structural features found in numerous other complex real-world networks: a low clustering coefficient and a short average path length. These empirical findings are in marked contrast to the network structures that have been assumed thus far in the theoretical economic and econo-physics literature.","2004-12-01","2023-07-22 18:50:28","2023-12-20 16:51:56","2023-07-22 18:50:28","677-684","","6","4","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://www.tandfonline.com/doi/pdf/10.1080/14697680400020325","","; C:\Users\maroa\Zotero\storage\7DV899R5\Boss et al. - 2004 - Network topology of the interbank market.pdf","notion://www.notion.so/Boss-et-al-2004-6db5bfd6386c49e3af915ac723c1bf84","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EB7FG2T","journalArticle","2015","Bargigli, L.; Di Iasio, G.; Infante, L.; Lillo, F.; Pierobon, F.","The multiplex structure of interbank networks","Quantitative Finance","","1469-7688, 1469-7696","10.1080/14697688.2014.968356","http://www.tandfonline.com/doi/abs/10.1080/14697688.2014.968356","","2015-04-03","2023-07-22 18:51:43","2023-12-20 17:00:31","2023-07-22 18:51:43","673-691","","4","15","","Quantitative Finance","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\9SWPCPBE\Bargigli et al. - 2015 - The multiplex structure of interbank networks.pdf; ","notion://www.notion.so/Bargigli-et-al-2015-05436c1565134feb8a1c3cd98275f348","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAE5D63M","journalArticle","2014","Diebold, Francis X.; Yılmaz, Kamil","On the network topology of variance decompositions: Measuring the connectedness of financial firms","Journal of Econometrics","","0304-4076","10.1016/j.jeconom.2014.04.012","https://www.sciencedirect.com/science/article/pii/S0304407614000712","We propose several connectedness measures built from pieces of variance decompositions, and we argue that they provide natural and insightful measures of connectedness. We also show that variance decompositions define weighted, directed networks, so that our connectedness measures are intimately related to key measures of connectedness used in the network literature. Building on these insights, we track daily time-varying connectedness of major US financial institutions’ stock return volatilities in recent years, with emphasis on the financial crisis of 2007–2008.","2014-09-01","2023-07-22 18:59:32","2024-02-11 00:07:26","2023-07-22 18:59:32","119-134","","1","182","","Journal of Econometrics","On the network topology of variance decompositions","Causality, Prediction, and Specification Analysis: Recent Advances and Future Directions","","","","","","en","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\9PLPB6FM\Diebold and Yılmaz - 2014 - On the network topology of variance decompositions.pdf; C:\Users\maroa\Zotero\storage\YRS2JZ9F\Diebold and Yılmaz - 2014 - On the network topology of variance decompositions.pdf; C:\Users\maroa\Zotero\storage\GMZIJSDF\S0304407614000712.html","","","Systemic risk; Asset markets; Credit risk; Degree distribution; Market risk; Portfolio allocation; Risk management; Risk measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
